county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
umatilla,OR,0.814,0.568,2.074,1295995,4250.937
union,OR,0.819,0.469,1.779,182543,1112.152
wallowa,OR,0.482,0.0,1.896,100799,3661.951
wasco,OR,0.709,0.553,1.691,922108,3292.848
washington,OR,0.832,0.917,1.245,1501480,486.551
wheeler,OR,0.534,0.0,2.215,60971,5560.74
yamhill,OR,0.798,0.633,1.427,963134,2040.358
beaver,UT,0.556,0.0,2.415,71176,209.921
box-elder,UT,0.725,0.487,2.165,1589978,2228.021
cache,UT,0.831,0.769,1.659,723603,412.955
carbon,UT,0.729,0.522,2.877,891549,3517.574
daggett,UT,0.195,0.0,1.972,18283,639.256
davis,UT,0.909,0.98,1.315,3949519,49.968
duchesne,UT,0.335,0.11,2.098,437068,254.252
emery,UT,0.533,0.0,3.106,880954,3158.596
garfield,UT,0.196,0.0,1.459,28063,224.49
grand,UT,0.613,0.684,1.644,48630,224.249
iron,UT,0.431,0.329,1.863,778731,150.037
juab,UT,0.0,0.17,1.021,17709,127.501
kane,UT,0.245,0.0,2.087,77481,806.525
millard,UT,0.0,0.0,1.712,17894,770.052
morgan,UT,0.811,0.0,1.808,127020,1434.921
piute,UT,0.0,0.0,1.848,3895,1230.593
rich,UT,0.144,0.0,2.217,170492,2218.981
salt-lake,UT,0.881,0.969,1.381,8040417,73.077
san-juan,UT,0.359,0.0,2.019,74024,2893.548
sanpete,UT,0.273,0.039,1.989,54384,95.145
sevier,UT,0.689,0.27,2.205,151787,1106.596
summit,UT,0.451,0.52,1.5,626729,394.207
tooele,UT,0.867,0.675,1.409,645317,638.583
uintah,UT,0.0,0.438,1.356,22827,694.916
utah,UT,0.85,0.886,1.564,13382710,106.845
wasatch,UT,0.464,0.413,1.468,249350,1015.758
washington,UT,0.628,0.772,1.489,825966,973.742
wayne,UT,0.131,0.0,1.311,10333,72.838
weber,UT,0.853,0.888,1.413,2752048,203.619
