county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
st-joseph,MI,0.79,0.282,1.546,381714,324.117
tuscola,MI,0.76,0.067,1.551,863537,692.469
van-buren,MI,0.668,0.232,1.534,587646,212.975
washtenaw,MI,0.882,0.742,1.243,1064833,495.319
wayne,MI,0.797,0.989,1.434,32441854,10.949
wexford,MI,0.662,0.295,1.497,958876,926.374
aitkin,MN,0.382,0.0,2.561,22902557,536.731
anoka,MN,0.915,0.805,1.183,2050173,240.723
becker,MN,0.561,0.224,1.841,2446966,490.6
beltrami,MN,0.52,0.232,1.97,628912,1421.903
benton,MN,0.832,0.425,1.571,162987,150.756
big-stone,MN,0.506,0.0,2.303,506968,422.656
blue-earth,MN,0.824,0.503,1.667,582226,434.341
brown,MN,0.846,0.434,1.842,260115,248.802
carlton,MN,0.677,0.298,2.166,4636324,475.528
carver,MN,0.897,0.72,1.256,447840,114.984
cass,MN,0.382,0.0,1.806,2208693,492.187
chippewa,MN,0.68,0.344,2.054,756531,465.787
chisago,MN,0.843,0.317,1.405,1023758,622.975
clay,MN,0.815,0.618,1.492,514425,180.787
clearwater,MN,0.562,0.0,2.124,394664,366.305
cook,MN,0.28,0.0,1.896,408116,3229.963
cottonwood,MN,0.732,0.0,2.101,186275,202.801
crow-wing,MN,0.545,0.141,1.975,2907235,373.097
dakota,MN,0.937,0.933,1.21,1583741,61.059
dodge,MN,0.861,0.336,1.568,93269,113.17
douglas,MN,0.618,0.348,1.619,984072,476.894
faribault,MN,0.713,0.0,2.176,351339,357.242
fillmore,MN,0.686,0.0,1.989,363723,472.348
freeborn,MN,0.821,0.491,1.865,440137,384.9
goodhue,MN,0.817,0.277,1.514,58173,63.227
grant,MN,0.518,0.0,1.939,61199,115.642
hennepin,MN,0.905,0.962,1.218,4535953,68.849
houston,MN,0.795,0.253,2.008,441154,412.392
hubbard,MN,0.518,0.0,1.99,3207766,490.757
isanti,MN,0.837,0.339,1.462,276886,362.178
itasca,MN,0.546,0.12,2.915,20709971,589.316
jackson,MN,0.696,0.0,2.182,137935,162.393
kanabec,MN,0.657,0.0,1.502,205913,450.689
kandiyohi,MN,0.745,0.441,1.811,669053,194.415
kittson,MN,0.439,0.0,2.979,435220,276.676
koochiching,MN,0.55,0.341,7.001,17374413,1558.606
lac-qui-parle,MN,0.647,0.0,2.332,70701,141.779
lake,MN,0.466,0.0,5.415,9169231,4042.867
